config	dx	dy	halflength	z0	angle	sob	calo	alpha	obj
helical002	4.1148	82.8885	219.1306	4500.0000	489.8195	0.96700	9.33063e-07	100000.000	0.87369
helical008	1.6023	85.3969	68.7786	4500.0000	283.7010	2.25000	3.68112e-06	100000.000	1.88189
helical009	1.9885	84.7513	241.3400	4500.0000	302.7463	1.47000	1.32929e-06	100000.000	1.33707
helical011	3.1198	85.9400	55.5435	4331.3333	476.5456	1.98000	2.68415e-06	100000.000	1.71158
helical012	1.3854	81.2862	243.3723	4316.0337	485.3949	1.89000	2.45408e-06	100000.000	1.64459
helical010	0.5000	93.3960	278.1141	4339.7971	341.9720	2.26000	2.63303e-06	100000.000	1.99670
helical017	2.5532	85.5736	130.7881	4500.0000	421.1809	1.65000	1.81016e-06	100000.000	1.46898
helical016	0.5000	85.5887	102.1741	4347.2472	244.8416	2.61000	3.99508e-06	100000.000	2.21049
helical013	0.5000	110.0000	25.0000	4250.0000	540.0000	1.00000	2.55634e-08	100000.000	0.99744
helical014	0.5000	92.5325	31.8930	4438.2112	432.0244	2.00000	1.22704e-06	100000.000	1.87730
helical018	0.5000	85.0489	25.0000	4396.1095	74.5579	2.68000	5.45178e-06	100000.000	2.13482
helical021	4.6077	85.9412	29.4320	4287.1946	209.6040	1.75000	2.88576e-06	100000.000	1.46142
helical020	0.5000	92.3469	25.0000	4345.6543	428.0007	1.96000	9.21957e-07	100000.000	1.86780
helical019	0.5000	85.6536	242.6648	4250.0000	371.5226	1.61000	2.35183e-06	100000.000	1.37482
helical024	0.5000	87.0954	168.0376	4398.4921	60.0000	2.45000	4.32713e-06	100000.000	2.01729
helical025	5.0000	110.0000	25.0000	4500.0000	154.2461	1.71000	3.07304e-06	100000.000	1.40270
helical026	5.0000	40.0000	300.0000	4250.0000	357.6572	1.34000	4.46386e-06	100000.000	0.89361
helical027	0.5000	98.6138	25.0000	4500.0000	196.3518	2.62000	5.55612e-06	100000.000	2.06439
helical023	0.5000	110.0000	300.0000	4500.0000	287.2567	2.62000	2.41816e-06	100000.000	2.37818
helical032	5.0000	110.0000	251.8621	4250.0000	283.7817	0.84400	3.48591e-07	100000.000	0.80914
helical031	0.5000	40.0000	257.0325	4500.0000	506.1854	2.67000	5.12585e-06	100000.000	2.15742
helical030	0.5000	96.9619	25.0000	4412.5651	230.1597	2.58000	4.89319e-06	100000.000	2.09068
helical029	0.5000	110.0000	300.0000	4500.0000	509.9731	2.39000	1.66162e-07	100000.000	2.37338
helical033	0.5000	93.0600	40.4500	4436.0000	84.8000	2.65000	5.17690e-06	100000.000	2.13231
helical034	0.5000	109.0000	289.6800	4479.0000	333.3000	2.52000	1.16313e-06	100000.000	2.40369
helical037	0.5000	109.5700	74.3900	4267.0000	536.9000	1.49000	1.31094e-08	100000.000	1.48869
helical035	0.5300	106.6800	296.1600	4489.0000	471.2000	2.41000	3.19542e-07	100000.000	2.37805
helical036	0.5200	108.0900	291.5000	4405.0000	536.5000	1.22000	7.74647e-08	100000.000	1.21225
helical038	0.5330	104.0580	63.4030	4450.7020	60.6710	2.60000	5.34274e-06	100000.000	2.06573
helical040	0.5450	109.3840	293.6320	4482.4790	512.2970	2.28000	1.93662e-07	100000.000	2.26063
helical048	0.2030	90.7450	29.2500	4387.9880	70.6360	2.72000	5.68785e-06	100000.000	2.15122
helical048	0.2030	90.7450	29.2500	4387.9880	70.6360	2.72000	5.68785e-06	100000.000	2.15122
helical042	0.5300	109.2650	238.4050	4274.0820	539.1350	1.96000	5.27080e-08	100000.000	1.95473
helical052	0.2160	106.4190	25.7820	4317.9630	532.9570	1.27000	6.42295e-08	100000.000	1.26358
helical039	0.5010	109.0490	286.9960	4459.0740	383.8950	1.38000	4.04318e-07	100000.000	1.33957
helical041	0.5690	109.9790	246.4710	4381.6110	538.7650	1.18000	5.58762e-08	100000.000	1.17441
helical047	0.4000	109.0000	289.6800	4479.0000	333.3000	2.59000	1.02253e-06	100000.000	2.48775
helical049	0.1670	107.0600	187.7920	4497.5330	293.4760	2.62000	1.99394e-06	100000.000	2.42061
helical050	0.1050	109.6110	194.6840	4495.7660	459.5910	2.45000	6.52127e-08	100000.000	2.44348
helical044	0.1500	109.0000	289.6800	4479.0000	333.3000	2.63000	1.25809e-06	100000.000	2.50419
helical043	0.1000	109.0000	289.6800	4479.0000	333.3000	2.63000	1.01483e-06	100000.000	2.52852
helical045	0.2000	109.0000	289.6800	4479.0000	333.3000	2.65000	1.17383e-06	100000.000	2.53262
helical046	0.3000	109.0000	289.6800	4479.0000	333.3000	2.62000	1.13615e-06	100000.000	2.50639
helical051	0.2270	109.5410	132.4950	4463.0360	538.3580	2.16000	5.16432e-08	100000.000	2.15484
